cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
2767	S1534	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2768	S1535	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2769	S1536	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
277	S1537	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2770	20	7	Organic compounds	0.42857142857142855	Lipids and lipid-like molecules	0.42857142857142855	Prenol lipids	0.2857142857142857	Terpene glycosides	0.2857142857142857	Iridoid O-glycosides	0.2857142857142857	Aromatic heteropolycyclic compounds	0.2857142857142857
5378	20	7	Organic compounds	0.42857142857142855	Lipids and lipid-like molecules	0.42857142857142855	Prenol lipids	0.2857142857142857	Terpene glycosides	0.2857142857142857	Iridoid O-glycosides	0.2857142857142857	Aromatic heteropolycyclic compounds	0.2857142857142857
5612	20	7	Organic compounds	0.42857142857142855	Lipids and lipid-like molecules	0.42857142857142855	Prenol lipids	0.2857142857142857	Terpene glycosides	0.2857142857142857	Iridoid O-glycosides	0.2857142857142857	Aromatic heteropolycyclic compounds	0.2857142857142857
5869	20	7	Organic compounds	0.42857142857142855	Lipids and lipid-like molecules	0.42857142857142855	Prenol lipids	0.2857142857142857	Terpene glycosides	0.2857142857142857	Iridoid O-glycosides	0.2857142857142857	Aromatic heteropolycyclic compounds	0.2857142857142857
6499	20	7	Organic compounds	0.42857142857142855	Lipids and lipid-like molecules	0.42857142857142855	Prenol lipids	0.2857142857142857	Terpene glycosides	0.2857142857142857	Iridoid O-glycosides	0.2857142857142857	Aromatic heteropolycyclic compounds	0.2857142857142857
7348	20	7	Organic compounds	0.42857142857142855	Lipids and lipid-like molecules	0.42857142857142855	Prenol lipids	0.2857142857142857	Terpene glycosides	0.2857142857142857	Iridoid O-glycosides	0.2857142857142857	Aromatic heteropolycyclic compounds	0.2857142857142857
7506	20	7	Organic compounds	0.42857142857142855	Lipids and lipid-like molecules	0.42857142857142855	Prenol lipids	0.2857142857142857	Terpene glycosides	0.2857142857142857	Iridoid O-glycosides	0.2857142857142857	Aromatic heteropolycyclic compounds	0.2857142857142857
2771	S1538	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2772	S1539	1	Organic compounds	1.0	Benzenoids	1.0	Anthracenes	1.0	Anthraquinones	1.0	Anthraquinones	1.0	Aromatic heteropolycyclic compounds	1.0
2773	S1540	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2774	S1541	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2775	S1542	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2776	S1543	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2777	S1544	1	Organic compounds	1.0	Benzenoids	1.0	Benzene and substituted derivatives	1.0	Diphenylethers	1.0	Diphenylethers	1.0	Aromatic homomonocyclic compounds	1.0
2778	S1545	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2779	S1546	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
278	S1547	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2780	12	2	Organic compounds	0.5	Phenylpropanoids and polyketides	0.5	Angucyclines	0.5		0.5	Angucyclines	0.5	Aromatic homopolycyclic compounds	0.5
3780	12	2	Organic compounds	0.5	Phenylpropanoids and polyketides	0.5	Angucyclines	0.5		0.5	Angucyclines	0.5	Aromatic homopolycyclic compounds	0.5
2781	43	11	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Benzopyrans	1.0	1-benzopyrans	1.0	Xanthenes	1.0	Aromatic heteropolycyclic compounds	1.0
5315	43	11	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Benzopyrans	1.0	1-benzopyrans	1.0	Xanthenes	1.0	Aromatic heteropolycyclic compounds	1.0
5944	43	11	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Benzopyrans	1.0	1-benzopyrans	1.0	Xanthenes	1.0	Aromatic heteropolycyclic compounds	1.0
6163	43	11	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Benzopyrans	1.0	1-benzopyrans	1.0	Xanthenes	1.0	Aromatic heteropolycyclic compounds	1.0
6392	43	11	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Benzopyrans	1.0	1-benzopyrans	1.0	Xanthenes	1.0	Aromatic heteropolycyclic compounds	1.0
6618	43	11	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Benzopyrans	1.0	1-benzopyrans	1.0	Xanthenes	1.0	Aromatic heteropolycyclic compounds	1.0
6812	43	11	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Benzopyrans	1.0	1-benzopyrans	1.0	Xanthenes	1.0	Aromatic heteropolycyclic compounds	1.0
6819	43	11	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Benzopyrans	1.0	1-benzopyrans	1.0	Xanthenes	1.0	Aromatic heteropolycyclic compounds	1.0
6866	43	11	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Benzopyrans	1.0	1-benzopyrans	1.0	Xanthenes	1.0	Aromatic heteropolycyclic compounds	1.0
7137	43	11	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Benzopyrans	1.0	1-benzopyrans	1.0	Xanthenes	1.0	Aromatic heteropolycyclic compounds	1.0
8076	43	11	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Benzopyrans	1.0	1-benzopyrans	1.0	Xanthenes	1.0	Aromatic heteropolycyclic compounds	1.0
2782	S1548	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2783	S1549	1	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Depsides and depsidones	1.0		1.0	Depsides and depsidones	1.0	Aromatic homomonocyclic compounds	1.0
2784	S1550	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2786	S1551	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2787	S1552	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
279	S1553	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2790	S1554	1	Organic compounds	1.0	Lignans, neolignans and related compounds	1.0	Furanoid lignans	1.0	Tetrahydrofuran lignans	1.0	7,7'-epoxylignans	1.0	Aromatic heteromonocyclic compounds	1.0
2791	S1555	1	Organic compounds	1.0	Lignans, neolignans and related compounds	1.0	Furanoid lignans	1.0	Tetrahydrofuran lignans	1.0	7,7'-epoxylignans	1.0	Aromatic heteromonocyclic compounds	1.0
2793	S1556	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2794	S1557	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2797	S1558	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2798	S1559	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2799	S1560	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
28	S1561	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2800	S1562	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2801	S1563	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2802	S1564	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2803	86	6	Organic compounds	0.8333333333333334	Organic oxygen compounds	0.5	Organooxygen compounds	0.5	Carbohydrates and carbohydrate conjugates	0.5	O-glycosyl compounds	0.5	Aliphatic heteromonocyclic compounds	0.5
3994	86	6	Organic compounds	0.8333333333333334	Organic oxygen compounds	0.5	Organooxygen compounds	0.5	Carbohydrates and carbohydrate conjugates	0.5	O-glycosyl compounds	0.5	Aliphatic heteromonocyclic compounds	0.5
5083	86	6	Organic compounds	0.8333333333333334	Organic oxygen compounds	0.5	Organooxygen compounds	0.5	Carbohydrates and carbohydrate conjugates	0.5	O-glycosyl compounds	0.5	Aliphatic heteromonocyclic compounds	0.5
