cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
5634	190	5	Organic compounds	0.2	Benzenoids	0.2	Phenol ethers	0.2	Anisoles	0.2	Anisoles	0.2	Aromatic homomonocyclic compounds	0.2
3379	S1276	1	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Flavonoids	1.0	Flavonoid glycosides	1.0	Flavonoid-7-O-glycosides	1.0	Aromatic heteropolycyclic compounds	1.0
338	S1277	1	Organic compounds	1.0	Organic nitrogen compounds	1.0	Organonitrogen compounds	1.0	Amines	1.0	Thiuram disulfides	1.0	Aliphatic acyclic compounds	1.0
3380	1288	2	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
3381	1288	2	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
3383	S1278	1	Organic compounds	1.0	Organic oxygen compounds	1.0	Organooxygen compounds	1.0	Carbonyl compounds	1.0	Alkyl-phenylketones	1.0	Aromatic homomonocyclic compounds	1.0
3384	770	5	Organic compounds	1.0	Benzenoids	0.8	Benzene and substituted derivatives	0.8	Benzoic acids and derivatives	0.6	Aminobenzoic acids	0.6	Aromatic heteromonocyclic compounds	0.8
5526	770	5	Organic compounds	1.0	Benzenoids	0.8	Benzene and substituted derivatives	0.8	Benzoic acids and derivatives	0.6	Aminobenzoic acids	0.6	Aromatic heteromonocyclic compounds	0.8
5596	770	5	Organic compounds	1.0	Benzenoids	0.8	Benzene and substituted derivatives	0.8	Benzoic acids and derivatives	0.6	Aminobenzoic acids	0.6	Aromatic heteromonocyclic compounds	0.8
7038	770	5	Organic compounds	1.0	Benzenoids	0.8	Benzene and substituted derivatives	0.8	Benzoic acids and derivatives	0.6	Aminobenzoic acids	0.6	Aromatic heteromonocyclic compounds	0.8
7733	770	5	Organic compounds	1.0	Benzenoids	0.8	Benzene and substituted derivatives	0.8	Benzoic acids and derivatives	0.6	Aminobenzoic acids	0.6	Aromatic heteromonocyclic compounds	0.8
3385	S1279	1	Organic compounds	1.0	Benzenoids	1.0	Benzene and substituted derivatives	1.0	Benzoyl derivatives	1.0	Benzoyl derivatives	1.0	Aromatic heteromonocyclic compounds	1.0
3388	S1280	1	Organic compounds	1.0	Lignans, neolignans and related compounds	1.0	Furanoid lignans	1.0	Tetrahydrofuran lignans	1.0	7,7'-epoxylignans	1.0	Aromatic heteromonocyclic compounds	1.0
339	1014	2	Organic compounds	1.0	Benzenoids	0.5	Benzene and substituted derivatives	0.5	Phenylhydrazines	0.5	Phenylhydrazines	0.5	Aromatic heteromonocyclic compounds	0.5
547	1014	2	Organic compounds	1.0	Benzenoids	0.5	Benzene and substituted derivatives	0.5	Phenylhydrazines	0.5	Phenylhydrazines	0.5	Aromatic heteromonocyclic compounds	0.5
3391	S1281	1	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Flavonoids	1.0	Flavones	1.0	8-prenylated flavones	1.0	Aromatic heteropolycyclic compounds	1.0
3392	1093	2	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Coumarins and derivatives	1.0		1.0	Coumarins and derivatives	1.0	Aromatic heteropolycyclic compounds	1.0
3393	1093	2	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Coumarins and derivatives	1.0		1.0	Coumarins and derivatives	1.0	Aromatic heteropolycyclic compounds	1.0
3395	S1282	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
3396	S1283	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
3397	238	4	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Coumarins and derivatives	1.0		1.0	Coumarins and derivatives	1.0	Aromatic heteropolycyclic compounds	1.0
3669	238	4	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Coumarins and derivatives	1.0		1.0	Coumarins and derivatives	1.0	Aromatic heteropolycyclic compounds	1.0
3690	238	4	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Coumarins and derivatives	1.0		1.0	Coumarins and derivatives	1.0	Aromatic heteropolycyclic compounds	1.0
4586	238	4	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Coumarins and derivatives	1.0		1.0	Coumarins and derivatives	1.0	Aromatic heteropolycyclic compounds	1.0
34	S1284	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
340	S1285	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Organic sulfonic acids and derivatives	1.0	Organosulfonic acids and derivatives	1.0	Organosulfonic acid esters	1.0	Aliphatic acyclic compounds	1.0
3400	S1286	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
3402	S1287	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
3407	S1288	1	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Tannins	1.0		1.0	Tannins	1.0	Aromatic heteromonocyclic compounds	1.0
3408	149	7	Organic compounds	0.5714285714285714	Lipids and lipid-like molecules	0.5714285714285714	Prenol lipids	0.5714285714285714	Polyterpenoids	0.42857142857142855	Polyterpenoids	0.42857142857142855	Aliphatic heteromonocyclic compounds	0.42857142857142855
3451	149	7	Organic compounds	0.5714285714285714	Lipids and lipid-like molecules	0.5714285714285714	Prenol lipids	0.5714285714285714	Polyterpenoids	0.42857142857142855	Polyterpenoids	0.42857142857142855	Aliphatic heteromonocyclic compounds	0.42857142857142855
3854	149	7	Organic compounds	0.5714285714285714	Lipids and lipid-like molecules	0.5714285714285714	Prenol lipids	0.5714285714285714	Polyterpenoids	0.42857142857142855	Polyterpenoids	0.42857142857142855	Aliphatic heteromonocyclic compounds	0.42857142857142855
3856	149	7	Organic compounds	0.5714285714285714	Lipids and lipid-like molecules	0.5714285714285714	Prenol lipids	0.5714285714285714	Polyterpenoids	0.42857142857142855	Polyterpenoids	0.42857142857142855	Aliphatic heteromonocyclic compounds	0.42857142857142855
3857	149	7	Organic compounds	0.5714285714285714	Lipids and lipid-like molecules	0.5714285714285714	Prenol lipids	0.5714285714285714	Polyterpenoids	0.42857142857142855	Polyterpenoids	0.42857142857142855	Aliphatic heteromonocyclic compounds	0.42857142857142855
3858	149	7	Organic compounds	0.5714285714285714	Lipids and lipid-like molecules	0.5714285714285714	Prenol lipids	0.5714285714285714	Polyterpenoids	0.42857142857142855	Polyterpenoids	0.42857142857142855	Aliphatic heteromonocyclic compounds	0.42857142857142855
4796	149	7	Organic compounds	0.5714285714285714	Lipids and lipid-like molecules	0.5714285714285714	Prenol lipids	0.5714285714285714	Polyterpenoids	0.42857142857142855	Polyterpenoids	0.42857142857142855	Aliphatic heteromonocyclic compounds	0.42857142857142855
3409	S1289	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
341	S1290	1	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Benzazepines	1.0	Dibenzazepines	1.0	Dibenzazepines	1.0	Aromatic heteropolycyclic compounds	1.0
3410	S1291	1	Organic compounds	1.0	Lipids and lipid-like molecules	1.0	Steroids and steroid derivatives	1.0	Steroidal glycosides	1.0	Cucurbitacin glycosides	1.0	Aliphatic heteropolycyclic compounds	1.0
3411	727	4	Organic compounds	0.75	Lipids and lipid-like molecules	0.75	Steroids and steroid derivatives	0.75	Steroidal glycosides	0.75	Cucurbitacin glycosides	0.75	Aliphatic heteropolycyclic compounds	0.75
6611	727	4	Organic compounds	0.75	Lipids and lipid-like molecules	0.75	Steroids and steroid derivatives	0.75	Steroidal glycosides	0.75	Cucurbitacin glycosides	0.75	Aliphatic heteropolycyclic compounds	0.75
7017	727	4	Organic compounds	0.75	Lipids and lipid-like molecules	0.75	Steroids and steroid derivatives	0.75	Steroidal glycosides	0.75	Cucurbitacin glycosides	0.75	Aliphatic heteropolycyclic compounds	0.75
8574	727	4	Organic compounds	0.75	Lipids and lipid-like molecules	0.75	Steroids and steroid derivatives	0.75	Steroidal glycosides	0.75	Cucurbitacin glycosides	0.75	Aliphatic heteropolycyclic compounds	0.75
3412	598	2	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Coumarins and derivatives	1.0	Pyranocoumarins	1.0	Linear pyranocoumarins	1.0	Aromatic heteropolycyclic compounds	1.0
3951	598	2	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Coumarins and derivatives	1.0	Pyranocoumarins	1.0	Linear pyranocoumarins	1.0	Aromatic heteropolycyclic compounds	1.0
3413	S1292	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
3414	398	2	Organic compounds	0.5	Phenylpropanoids and polyketides	0.5	Coumarins and derivatives	0.5	Pyranocoumarins	0.5	Linear pyranocoumarins	0.5	Aromatic heteropolycyclic compounds	0.5
3415	398	2	Organic compounds	0.5	Phenylpropanoids and polyketides	0.5	Coumarins and derivatives	0.5	Pyranocoumarins	0.5	Linear pyranocoumarins	0.5	Aromatic heteropolycyclic compounds	0.5
342	S1293	1	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Pyridines and derivatives	1.0	Pyridinesulfonamides	1.0	Pyridinesulfonamides	1.0	Aromatic heteromonocyclic compounds	1.0
3420	601	2	Organic compounds	1.0	Lipids and lipid-like molecules	1.0	Saccharolipids	1.0		1.0	Saccharolipids	1.0	Aromatic heteromonocyclic compounds	1.0
3421	601	2	Organic compounds	1.0	Lipids and lipid-like molecules	1.0	Saccharolipids	1.0		1.0	Saccharolipids	1.0	Aromatic heteromonocyclic compounds	1.0
3422	S1294	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
3425	S1295	1	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Coumarins and derivatives	1.0	Coumarin glycosides	1.0	Coumarin glycosides	1.0	Aromatic heteropolycyclic compounds	1.0
3427	S1296	1	Organic compounds	1.0	Benzenoids	1.0	Anthracenes	1.0	Anthraquinones	1.0	Hydroxyanthraquinones	1.0	Aromatic homopolycyclic compounds	1.0
3428	S1297	1	Organic compounds	1.0	Benzenoids	1.0	Anthracenes	1.0	Anthraquinones	1.0	Hydroxyanthraquinones	1.0	Aromatic homopolycyclic compounds	1.0
3430	1196	2	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Indoles and derivatives	1.0	Pyrroloindoles	1.0	Pyrroloindoles	1.0	Aromatic heteropolycyclic compounds	1.0
3431	1196	2	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Indoles and derivatives	1.0	Pyrroloindoles	1.0	Pyrroloindoles	1.0	Aromatic heteropolycyclic compounds	1.0
3432	S1298	1	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Benzopyrans	1.0	1-benzopyrans	1.0	Chromones	1.0	Aromatic heteropolycyclic compounds	1.0
3433	S1299	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
3434	S1300	1	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Benzopyrans	1.0	1-benzopyrans	1.0	Chromones	1.0	Aromatic heteropolycyclic compounds	1.0
3441	S1301	1	Organic compounds	1.0	Lipids and lipid-like molecules	1.0	Steroids and steroid derivatives	1.0	Steroid lactones	1.0	Bufanolides and derivatives	1.0	Aromatic heteropolycyclic compounds	1.0
3442	S1302	1	Organic compounds	1.0	Lipids and lipid-like molecules	1.0	Steroids and steroid derivatives	1.0	Steroid lactones	1.0	Bufanolides and derivatives	1.0	Aromatic heteropolycyclic compounds	1.0
3443	S1303	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
3444	S1304	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
3448	S1305	1	Organic compounds	1.0	Organic oxygen compounds	1.0	Organooxygen compounds	1.0	Alcohols and polyols	1.0	Quinic acids and derivatives	1.0	Aromatic homomonocyclic compounds	1.0
345	S1306	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
3450	S1307	1	Organic compounds	1.0	Organic oxygen compounds	1.0	Organooxygen compounds	1.0	Alcohols and polyols	1.0	Quinic acids and derivatives	1.0	Aromatic homomonocyclic compounds	1.0
3452	S1308	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
3453	S1309	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
3455	S1310	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
3456	S1311	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
3457	S1312	1	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Stilbenes	1.0		1.0	Stilbenes	1.0	Aromatic homomonocyclic compounds	1.0
3458	S1313	1	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Stilbenes	1.0		1.0	Stilbenes	1.0	Aromatic homomonocyclic compounds	1.0
3459	435	2	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Benzopyrans	1.0	1-benzopyrans	1.0	Xanthones	1.0	Aromatic heteropolycyclic compounds	1.0
3941	435	2	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Benzopyrans	1.0	1-benzopyrans	1.0	Xanthones	1.0	Aromatic heteropolycyclic compounds	1.0
346	S1314	1	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Azoles	1.0	Triazoles	1.0	Phenyl-1,2,4-triazoles	1.0	Aromatic heteromonocyclic compounds	1.0
